albums,singers,titles
Rollin',브레이브걸스,롤린 (Rollin')
Celebrity,아이유,Celebrity
"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
밤하늘의 별을(2020),정은지,밤하늘의 별을(2020)
Dynamite (DayTime Version),경서,Dynamite
밝게 빛나는 별이 되어 비춰줄게,방탄소년단,밝게 빛나는 별이 되어 비춰줄게
쇼미더머니 9 Episode 1,송이한,VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
잠이 오질 않네요,미란이 (Mirani),잠이 오질 않네요
최고의 사랑 OST Part.4,먼치맨(MUNCHMAN),내 손을 잡아
THE ALBUM,Khundi Panda,Lovesick Girls
취기를 빌려 (취향저격 그녀 X 산들),머쉬베놈 (MUSHVENOM),취기를 빌려 (취향저격 그녀 X 산들)
이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),장범준,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
나랑 같이 걸을래 (바른연애 길잡이 X 적재),아이유,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
에잇,BLACKPINK,에잇(Prod.&Feat. SUGA of BTS)
Love poem,산들,Blueming
멜로가 체질 OST Part 3,10CM,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
오래된 노래,적재,오래된 노래
힘든 건 사랑이 아니다,아이유,힘든 건 사랑이 아니다
그날에 나는 맘이 편했을까,아이유,그날에 나는 맘이 편했을까
고백 (바른연애 길잡이 X 허각),장범준,고백 (바른연애 길잡이 X 허각)
항해,스탠딩 에그,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
사실 나는,임창정,사실 나는 (Feat.전건호)
Savage Love (Laxed - Siren Beat) [BTS Remix],이예준,Savage Love (Laxed - Siren Beat) (BTS Remix)
Boyhood,허각,METEOR
I’m Not Cool,AKMU (악동뮤지션),I'm Not Cool
'키스 먼저 할까요?' OST Part.3,경서예지,"모든 날, 모든 순간 (Every day, Every Moment)"
BE,Jawsh 685,Life Goes On
내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),Jason Derulo,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
어떻게 지내,방탄소년단,어떻게 지내 (Prod. By VAN.C)
NONSTOP,창모 (CHANGMO),Dolphin
Speak Your Mind (Deluxe),현아,2002
늦은 밤 너의 집 앞 골목길에서,폴킴,늦은 밤 너의 집 앞 골목길에서
혼술하고 싶은 밤,방탄소년단,혼술하고 싶은 밤
슬기로운 의사생활 OST Part 3,규현 (KYUHYUN),아로하
How You Like That,오반 (OVAN),How You Like That
Red Moon : To You My Light,오마이걸 (OH MY GIRL),오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
쇼미더머니 9 Episode 3,Anne-Marie,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))"
사랑의 불시착 OST Part 11,노을,마음을 드려요
너의 번호를 누르고,벤,너의 번호를 누르고 (Prod. 영화처럼)
When We Disco,조정석,When We Disco (Duet with 선미)
MAP OF THE SOUL : PERSONA,BLACKPINK,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
